file;model;win;movements;attack_attempts;successful_attacks;pct_enemy_targeted;kills;avg_request_time
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-06-12-43.log;deepseek-v4-flash;0;9;6;6;1.0000;2;37465.8412
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-06-31-00.log;deepseek-v4-flash;1;7;12;12;0.7500;0;36232.54108108108
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-06-57-28.log;deepseek-v4-flash;0;7;5;5;1.0000;1;35879.83111111111
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-07-10-00.log;deepseek-v4-flash;1;11;9;9;1.0000;2;36139.53923076923
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-07-28-07.log;deepseek-v4-flash;0;9;7;7;0.8571;0;29818.712857142855
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-07-40-34.log;deepseek-v4-flash;0;5;7;7;1.0000;1;30411.26421052632
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-07-52-13.log;deepseek-v4-flash;1;11;13;13;0.6923;1;31506.5035
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-08-17-27.log;deepseek-v4-flash;1;6;9;9;1.0000;0;29436.18181818182
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-08-30-40.log;deepseek-v4-flash;0;7;8;8;1.0000;0;30952.6
ProcessLogs/AI Wars = Green[AIAgent-Utility-BigEyeGenes-Green-7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-23-08-46-13.log;deepseek-v4-flash;1;10;11;11;0.8182;1;33953.18625
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-10-36-40.log;deepseek-v4-flash;1;11;9;9;1.0000;0;44314.49694444444
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-11-06-51.log;deepseek-v4-flash;1;9;10;10;0.9000;1;42590.708387096776
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-11-31-57.log;deepseek-v4-flash;1;12;9;9;1.0000;0;43341.246315789474
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-12-20-17.log;deepseek-v4-flash;1;16;13;13;0.6923;1;37146.45912280701
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-13-02-01.log;deepseek-v4-flash;1;11;9;9;1.0000;0;36093.37105263158
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-13-28-51.log;deepseek-v4-flash;0;8;7;7;1.0000;1;33733.25214285714
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-13-47-51.log;deepseek-v4-flash;1;8;9;9;1.0000;2;32008.354054054056
ProcessLogs/AI Wars = Green[AIAgent-Utility|BigEyeGenes|Green|7] x Red[DeepSeek-deepseek-v4-flash-Prompt_4] -2026-05-25-14-12-11.log;deepseek-v4-flash;1;8;10;10;0.9000;1;35891.66777777778
